name,price,link
SORA moteriška suknelė,23.0,https://e-vintage.humana.lt//collections/moterims/products/sora-moteriska-suknele
DIOLEN moteriškas lietpaltis,32.0,https://e-vintage.humana.lt//collections/moterims/products/diolen-moteriskas-lietpaltis-1
NO. 1 COLLECTION moteriška šilkinė palaidinė,27.0,https://e-vintage.humana.lt//collections/moterims/products/no-1-collection-moteriska-silkine-palaidine
DIETER GERHARD moteriškas šilkinis švarkas,35.0,https://e-vintage.humana.lt//collections/moterims/products/dieter-gerhard-moteriskas-silkinis-svarkas
WRANGLER moteriška palaidinė,23.0,https://e-vintage.humana.lt//collections/moterims/products/wrangler-moteriska-palaidine-6
EMPERELA moteriška palaidinė,17.0,https://e-vintage.humana.lt//collections/moterims/products/emperela-moteriska-palaidine
LUCIANO moteriškas džemperis,25.0,https://e-vintage.humana.lt//collections/moterims/products/luciano-moteriskas-dzemperis
Moteriškas džemperis,23.0,https://e-vintage.humana.lt//collections/moterims/products/moteriskas-dzemperis-8
GUESS moteriškas džinsinis švarkas,35.0,https://e-vintage.humana.lt//collections/moterims/products/guess-moteriskas-dzinsinis-svarkas
NORDSTRICKK moteriškas vilnonis megztinis,27.0,https://e-vintage.humana.lt//collections/moterims/products/nordstrickk-moteriskas-vilnonis-megztinis
ELEGANCE PARIS moteriškas puspaltis,45.0,https://e-vintage.humana.lt//collections/moterims/products/elegance-paris-moteriskas-puspaltis
DOBRILA moteriškas vilnonis kardiganas,45.0,https://e-vintage.humana.lt//collections/moterims/products/dobrila-moteriskas-vilnonis-kardiganas
KENZO JEANS moteriška striukė,95.0,https://e-vintage.humana.lt//collections/moterims/products/kenzo-jeans-moteriska-striuke
Moteriški šortai su vilna,19.0,https://e-vintage.humana.lt//collections/moterims/products/moteriski-sortai-su-vilna-2
FAIR LADY moteriški marškinėliai,17.0,https://e-vintage.humana.lt//collections/moterims/products/fair-lady-moteriski-marskineliai
LUISA SPAGNOLI moteriškas megztas vilnonis sijonas,29.0,https://e-vintage.humana.lt//collections/moterims/products/luisa-spagnoli-moteriskas-megztas-vilnonis-sijonas
MARIMEKKO moteriški marškinėliai,23.0,https://e-vintage.humana.lt//collections/moterims/products/marimekko-moteriski-marskineliai-2
GRIFFE TRICOT moteriškas sijonas,23.0,https://e-vintage.humana.lt//collections/moterims/products/griffe-tricot-moteriskas-sijonas
MC DOWELL moteriškas vilnonis sijonas,23.0,https://e-vintage.humana.lt//collections/moterims/products/mc-dowell-moteriskas-vilnonis-sijonas
CACHAREL moteriškas vilnonis sijonas,32.0,https://e-vintage.humana.lt//collections/moterims/products/cacharel-moteriskas-vilnonis-sijonas-2
DINO VALIANO moteriškas sijonas su vilna,23.0,https://e-vintage.humana.lt//collections/moterims/products/dino-valiano-moteriskas-sijonas-su-vilna
ANNA MARIA moteriškas šilkinis sijonas,27.0,https://e-vintage.humana.lt//collections/moterims/products/anna-maria-moteriskas-silkinis-sijonas
ZERRES moteriškos vilnonės kelnės,27.0,https://e-vintage.humana.lt//collections/moterims/products/zerres-moteriskos-vilnones-kelnes
Moteriška rankinė,15.0,https://e-vintage.humana.lt//collections/moterims/products/moteriska-rankine-95
